Entry	Entry name	Protein names	Gene names	Gene ontology (GO)	Gene ontology (molecular function)
O60674	JAK2_HUMAN	Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)	JAK2	caveola [GO:0005901]; cell [GO:0005623]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; membrane raft [GO:0045121]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; acetylcholine receptor binding [GO:0033130]; ATP binding [GO:0005524]; growth hormone receptor binding [GO:0005131]; heme binding [GO:0020037]; histone binding [GO:0042393]; histone kinase activity (H3-Y41 specific) [GO:0035401]; identical protein binding [GO:0042802]; insulin receptor substrate binding [GO:0043560]; interleukin-12 receptor binding [GO:0005143]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; peptide hormone receptor binding [GO:0051428]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; type 1 angiotensin receptor binding [GO:0031702]; actin filament polymerization [GO:0030041]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097296]; activation of Janus kinase activity [GO:0042976]; activation of MAPKK activity [GO:0000186]; adaptive immune response [GO:0002250]; apoptotic process [GO:0006915]; axon regeneration [GO:0031103]; blood coagulation [GO:0007596]; cell differentiation [GO:0030154]; cytokine-mediated signaling pathway [GO:0019221]; enzyme linked receptor protein signaling pathway [GO:0007167]; erythrocyte differentiation [GO:0030218]; extrinsic apoptotic signaling pathway [GO:0097191]; G protein-coupled receptor signaling pathway [GO:0007186]; growth hormone receptor signaling pathway [GO:0060396]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; histone H3-Y41 phosphorylation [GO:0035409]; interferon-gamma-mediated signaling pathway [GO:0060333]; interleukin-12-mediated signaling pathway [GO:0035722]; interleukin-23-mediated signaling pathway [GO:0038155]; interleukin-27-mediated signaling pathway [GO:0070106]; interleukin-35-mediated signaling pathway [GO:0070757]; interleukin-6-mediated signaling pathway [GO:0070102]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; mammary gland epithelium development [GO:0061180]; MAPK cascade [GO:0000165]; mesoderm development [GO:0007498]; microglial cell activation [GO:0001774]; mineralocorticoid receptor signaling pathway [GO:0031959]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of DNA binding [GO:0043392]; negative regulation of heart contraction [GO:0045822]; negative regulation of neuron apoptotic process [GO:0043524]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of cell activation [GO:0050867]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of epithelial cell apoptotic process [GO:1904037]; positive regulation of growth factor dependent skeletal muscle satellite cell proliferation [GO:1902728]; positive regulation of growth hormone receptor signaling pathway [GO:0060399]; positive regulation of inflammatory response [GO:0050729]; positive regulation of insulin secretion [GO:0032024]; positive regulation of interleukin-1 beta biosynthetic process [GO:0050725]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of receptor biosynthetic process [GO:0010870]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; positive regulation of vascular smooth muscle cell proliferation [GO:1904707]; postsynapse to nucleus signaling pathway [GO:0099527]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of inflammatory response [GO:0050727]; regulation of interferon-gamma-mediated signaling pathway [GO:0060334]; regulation of nitric oxide biosynthetic process [GO:0045428]; regulation of receptor signaling pathway via JAK-STAT [GO:0046425]; response to antibiotic [GO:0046677]; response to hydroperoxide [GO:0033194]; response to interleukin-12 [GO:0070671]; response to lipopolysaccharide [GO:0032496]; response to tumor necrosis factor [GO:0034612]; signal transduction [GO:0007165]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; tyrosine phosphorylation of STAT protein [GO:0007260]	acetylcholine receptor binding [GO:0033130]; ATP binding [GO:0005524]; growth hormone receptor binding [GO:0005131]; heme binding [GO:0020037]; histone binding [GO:0042393]; histone kinase activity (H3-Y41 specific) [GO:0035401]; identical protein binding [GO:0042802]; insulin receptor substrate binding [GO:0043560]; interleukin-12 receptor binding [GO:0005143]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; peptide hormone receptor binding [GO:0051428]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; type 1 angiotensin receptor binding [GO:0031702]
P10721	KIT_HUMAN	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	KIT SCFR	acrosomal vesicle [GO:0001669]; cell-cell junction [GO:0005911]; cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; fibrillar center [GO:0001650]; integral component of plasma membrane [GO:0005887]; mast cell granule [GO:0042629]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; protease binding [GO:0002020]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; stem cell factor receptor activity [GO:0005020]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; actin cytoskeleton reorganization [GO:0031532]; activation of MAPK activity [GO:0000187]; B cell differentiation [GO:0030183]; cell chemotaxis [GO:0060326]; cellular response to thyroid hormone stimulus [GO:0097067]; cytokine-mediated signaling pathway [GO:0019221]; dendritic cell cytokine production [GO:0002371]; detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]; digestive tract development [GO:0048565]; ectopic germ cell programmed cell death [GO:0035234]; embryonic hemopoiesis [GO:0035162]; epithelial cell proliferation [GO:0050673]; erythrocyte differentiation [GO:0030218]; erythropoietin-mediated signaling pathway [GO:0038162]; Fc receptor signaling pathway [GO:0038093]; germ cell migration [GO:0008354]; glycosphingolipid metabolic process [GO:0006687]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell migration [GO:0035701]; hemopoiesis [GO:0030097]; immature B cell differentiation [GO:0002327]; inflammatory response [GO:0006954]; Kit signaling pathway [GO:0038109]; lamellipodium assembly [GO:0030032]; lymphoid progenitor cell differentiation [GO:0002320]; male gonad development [GO:0008584]; MAPK cascade [GO:0000165]; mast cell chemotaxis [GO:0002551]; mast cell cytokine production [GO:0032762]; mast cell degranulation [GO:0043303]; mast cell differentiation [GO:0060374]; mast cell proliferation [GO:0070662]; megakaryocyte development [GO:0035855]; melanocyte adhesion [GO:0097326]; melanocyte differentiation [GO:0030318]; melanocyte migration [GO:0097324]; myeloid progenitor cell differentiation [GO:0002318]; negative regulation of programmed cell death [GO:0043069]; ovarian follicle development [GO:0001541]; peptidyl-tyrosine phosphorylation [GO:0018108]; pigmentation [GO:0043473]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of colon smooth muscle contraction [GO:1904343]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of gene expression [GO:0010628]; positive regulation of long-term neuronal synaptic plasticity [GO:0048170]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phospholipase C activity [GO:0010863]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of pseudopodium assembly [GO:0031274]; positive regulation of pyloric antrum smooth muscle contraction [GO:0120072]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of small intestine smooth muscle contraction [GO:1904349]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; positive regulation of vascular smooth muscle cell differentiation [GO:1905065]; protein autophosphorylation [GO:0046777]; regulation of bile acid metabolic process [GO:1904251]; regulation of cell population proliferation [GO:0042127]; regulation of cell shape [GO:0008360]; regulation of transcription by RNA polymerase II [GO:0006357]; response to cadmium ion [GO:0046686]; signal transduction [GO:0007165]; somatic stem cell division [GO:0048103]; somatic stem cell population maintenance [GO:0035019]; spermatid development [GO:0007286]; spermatogenesis [GO:0007283]; stem cell differentiation [GO:0048863]; stem cell population maintenance [GO:0019827]; T cell differentiation [GO:0030217]; tongue development [GO:0043586]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; visual learning [GO:0008542]	ATP binding [GO:0005524]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; protease binding [GO:0002020]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; stem cell factor receptor activity [GO:0005020]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
P22612	KAPCG_HUMAN	cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) (EC 2.7.11.11)	PRKACG	ciliary base [GO:0097546]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; activation of protein kinase A activity [GO:0034199]; blood coagulation [GO:0007596]; cellular response to glucagon stimulus [GO:0071377]; high-density lipoprotein particle assembly [GO:0034380]; male gonad development [GO:0008584]; protein kinase A signaling [GO:0010737]; renal water homeostasis [GO:0003091]; spermatogenesis [GO:0007283]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]
Q96GX5	GWL_HUMAN	Serine/threonine-protein kinase greatwall (GW) (GWL) (hGWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)	MASTL GW GWL THC2	centrosome [GO:0005813]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein phosphatase 2A binding [GO:0051721]; protein serine/threonine kinase activity [GO:0004674]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; female meiosis II [GO:0007147]; G2/M transition of mitotic cell cycle [GO:0000086]; intracellular signal transduction [GO:0035556]; mitotic cell cycle [GO:0000278]; negative regulation of phosphoprotein phosphatase activity [GO:0032515]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; regulation of cell cycle [GO:0051726]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein phosphatase 2A binding [GO:0051721]; protein serine/threonine kinase activity [GO:0004674]
P50053	KHK_HUMAN	Ketohexokinase (EC 2.7.1.3) (Hepatic fructokinase)	KHK	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; ATP binding [GO:0005524]; carbohydrate kinase activity [GO:0019200]; ketohexokinase activity [GO:0004454]; fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate [GO:0061624]; fructose metabolic process [GO:0006000]; regulation of glycogen metabolic process [GO:0070873]; response to fructose [GO:0009750]; response to glucose [GO:0009749]; response to insulin [GO:0032868]; response to sucrose [GO:0009744]; response to zinc ion [GO:0010043]	ATP binding [GO:0005524]; carbohydrate kinase activity [GO:0019200]; ketohexokinase activity [GO:0004454]
Q9BZL6	KPCD2_HUMAN	Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2)	PRKD2 PKD2 HSPC187	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein kinase C activity [GO:0004697]; protein kinase C binding [GO:0005080]; protein serine/threonine kinase activity [GO:0004674]; adaptive immune response [GO:0002250]; angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; cell death [GO:0008219]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; endothelial tube morphogenesis [GO:0061154]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell adhesion [GO:0045785]; positive regulation of CREB transcription factor activity [GO:0032793]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast growth factor receptor signaling pathway [GO:0045743]; positive regulation of histone deacetylase activity [GO:1901727]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of T cell receptor signaling pathway [GO:0050862]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030949]; protein autophosphorylation [GO:0046777]; protein kinase D signaling [GO:0089700]; protein phosphorylation [GO:0006468]; sphingolipid biosynthetic process [GO:0030148]; T cell receptor signaling pathway [GO:0050852]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein kinase C activity [GO:0004697]; protein kinase C binding [GO:0005080]; protein serine/threonine kinase activity [GO:0004674]
O95340	PAPS2_HUMAN	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	PAPSS2 ATPSK2	cytosol [GO:0005829]; adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; nucleotidyltransferase activity [GO:0016779]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; 3'-phosphoadenosine 5'-phosphosulfate biosynthetic process [GO:0050428]; blood coagulation [GO:0007596]; bone development [GO:0060348]; skeletal system development [GO:0001501]; sulfate assimilation [GO:0000103]	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; nucleotidyltransferase activity [GO:0016779]; sulfate adenylyltransferase (ATP) activity [GO:0004781]
O75909	CCNK_HUMAN	Cyclin-K	CCNK CPR4	cyclin K-CDK12 complex [GO:0002944]; cyclin K-CDK13 complex [GO:0002945]; cyclin/CDK positive transcription elongation factor complex [GO:0008024]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase activator activity [GO:0061575]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; negative regulation by host of viral genome replication [GO:0044828]; negative regulation of cell cycle arrest [GO:0071157]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues [GO:2001165]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of transcription by RNA polymerase II [GO:0006357]; snRNA transcription by RNA polymerase II [GO:0042795]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]	cyclin-dependent protein serine/threonine kinase activator activity [GO:0061575]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
P52333	JAK3_HUMAN	Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)	JAK3	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endosome [GO:0005768]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; adaptive immune response [GO:0002250]; B cell differentiation [GO:0030183]; cytokine-mediated signaling pathway [GO:0019221]; enzyme linked receptor protein signaling pathway [GO:0007167]; erythrocyte differentiation [GO:0030218]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; innate immune response [GO:0045087]; interleukin-15-mediated signaling pathway [GO:0035723]; interleukin-2-mediated signaling pathway [GO:0038110]; interleukin-21-mediated signaling pathway [GO:0038114]; interleukin-4-mediated signaling pathway [GO:0035771]; interleukin-7-mediated signaling pathway [GO:0038111]; interleukin-9-mediated signaling pathway [GO:0038113]; intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; negative regulation of dendritic cell cytokine production [GO:0002731]; negative regulation of FasL biosynthetic process [GO:0045221]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of T cell activation [GO:0050868]; negative regulation of T-helper 1 cell differentiation [GO:0045626]; negative regulation of thymocyte apoptotic process [GO:0070244]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of T cell proliferation [GO:0042102]; protein phosphorylation [GO:0006468]; regulation of receptor signaling pathway via JAK-STAT [GO:0046425]; regulation of T cell apoptotic process [GO:0070232]; response to interleukin-15 [GO:0070672]; response to interleukin-2 [GO:0070669]; response to interleukin-4 [GO:0070670]; response to interleukin-9 [GO:0071104]; T cell homeostasis [GO:0043029]; tyrosine phosphorylation of STAT protein [GO:0007260]	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]
Q13557	KCC2D_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)	CAMK2D CAMKD	calcium- and calmodulin-dependent protein kinase complex [GO:0005954]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endocytic vesicle membrane [GO:0030666]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; sarcolemma [GO:0042383]; sarcoplasmic reticulum membrane [GO:0033017]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; sodium channel inhibitor activity [GO:0019871]; titin binding [GO:0031432]; cardiac muscle cell contraction [GO:0086003]; cellular response to calcium ion [GO:0071277]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; interferon-gamma-mediated signaling pathway [GO:0060333]; negative regulation of sodium ion transmembrane transport [GO:1902306]; negative regulation of sodium ion transmembrane transporter activity [GO:2000650]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1902514]; regulation of cardiac muscle cell action potential [GO:0098901]; regulation of cardiac muscle cell action potential involved in regulation of contraction [GO:0098909]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cell communication by electrical coupling [GO:0010649]; regulation of cell communication by electrical coupling involved in cardiac conduction [GO:1901844]; regulation of cell growth [GO:0001558]; regulation of cellular localization [GO:0060341]; regulation of cellular response to heat [GO:1900034]; regulation of heart contraction [GO:0008016]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of histone deacetylase activity [GO:1901725]; regulation of membrane depolarization [GO:0003254]; regulation of relaxation of cardiac muscle [GO:1901897]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; regulation of ryanodine-sensitive calcium-release channel activity [GO:0060314]; regulation of the force of heart contraction [GO:0002026]; regulation of transcription by RNA polymerase II [GO:0006357]; relaxation of cardiac muscle [GO:0055119]	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; sodium channel inhibitor activity [GO:0019871]; titin binding [GO:0031432]
O75582	KS6A5_HUMAN	Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL)	RPS6KA5 MSK1	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; axon guidance [GO:0007411]; epidermal growth factor receptor signaling pathway [GO:0007173]; histone H2A-S1 phosphorylation [GO:0043990]; histone H3-S10 phosphorylation [GO:0043987]; histone H3-S28 phosphorylation [GO:0043988]; histone phosphorylation [GO:0016572]; inflammatory response [GO:0006954]; interleukin-1-mediated signaling pathway [GO:0070498]; intracellular signal transduction [GO:0035556]; negative regulation of cytokine production [GO:0001818]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of CREB transcription factor activity [GO:0032793]; positive regulation of histone acetylation [GO:0035066]; positive regulation of histone phosphorylation [GO:0033129]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of transcription, DNA-templated [GO:0006355]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q86YV5	PRAG1_HUMAN	Inactive tyrosine-protein kinase PRAG1 (PEAK1-related kinase-activating pseudokinase 1) (Pragmin) (Sugen kinase 223) (SgK223)	PRAG1 SGK223	cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; cell migration [GO:0016477]; negative regulation of neuron projection development [GO:0010977]; positive regulation of Rho protein signal transduction [GO:0035025]; protein phosphorylation [GO:0006468]; regulation of cell motility [GO:2000145]; regulation of cell shape [GO:0008360]; regulation of Notch signaling pathway [GO:0008593]	identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]
Q9P286	PAK5_HUMAN	Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)	PAK5 KIAA1264 PAK7	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; synapse [GO:0045202]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; activation of protein kinase activity [GO:0032147]; apoptotic process [GO:0006915]; cell migration [GO:0016477]; cell population proliferation [GO:0008283]; cytoskeleton organization [GO:0007010]; learning [GO:0007612]; locomotory behavior [GO:0007626]; memory [GO:0007613]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; regulation of cell growth [GO:0001558]; signal transduction [GO:0007165]; signal transduction by protein phosphorylation [GO:0023014]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q86TB3	ALPK2_HUMAN	Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase)	ALPK2 HAK	basolateral plasma membrane [GO:0016323]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; cardiac muscle cell development [GO:0055013]; epicardium morphogenesis [GO:1905223]; establishment of cell polarity [GO:0030010]; heart morphogenesis [GO:0003007]; negative regulation of Wnt signaling pathway involved in heart development [GO:0003308]; regulation of apoptotic process [GO:0042981]; regulation of gene expression [GO:0010468]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
